,Open,High,Low,Close,Date,Volume
254,0.007494,0.007494,0.006877,0.006877,2016-04-06 18:00:00,1446380.0
255,0.006671,0.006671,0.005927,0.006068,2016-04-10 18:00:00,1807669.9999999998
256,0.005877,0.006373,0.005707,0.006373,2016-04-14 18:00:00,155910.0
257,0.006489,0.00713,0.006489,0.00713,2016-04-18 18:00:00,403883.0
258,0.007245,0.007475,0.007245,0.007347,2016-04-22 18:00:00,316474.00000000006
259,0.007254,0.007277,0.006743,0.006743,2016-04-26 18:00:00,865930.0
260,0.006689,0.006813,0.006689,0.006813,2016-04-29 18:00:00,410256.0
261,0.006796,0.006796,0.006559,0.006559,2016-05-02 18:00:00,331478.99999999994
262,0.006314,0.006486,0.006193,0.006486,2016-05-06 18:00:00,385986.00000000006
263,0.006403,0.006403,0.006192,0.006192,2016-05-10 18:00:00,470955.9999999999
264,0.006166,0.006166,0.006058,0.006058,2016-05-14 18:00:00,311439.0
265,0.006023,0.00604,0.006023,0.00604,2016-05-18 18:00:00,793191.0
266,0.006082,0.006082,0.005908,0.005908,2016-05-22 18:00:00,509675.0
267,0.005956,0.005956,0.005671,0.005676,2016-05-26 18:00:00,1069750.0
268,0.005679,0.005754,0.005644,0.005705,2016-05-30 18:00:00,841980.9999999999
269,0.00581,0.005821,0.005767,0.005821,2016-06-02 18:00:00,438919.0
270,0.005783,0.005796,0.005769,0.005776,2016-06-06 18:00:00,781573.0
271,0.005769,0.005786,0.00574,0.005756,2016-06-10 18:00:00,375383.0
272,0.005844,0.006987,0.005831,0.006878,2016-06-14 18:00:00,3365100.0
273,0.006669,0.006816,0.006615,0.006816,2016-06-18 18:00:00,2390380.0
274,0.006634,0.006634,0.006187,0.006381,2016-06-22 18:00:00,3225400.0
275,0.006406,0.006419,0.006396,0.006397,2016-06-26 18:00:00,1124300.0
276,0.006765,0.006765,0.006666,0.006666,2016-06-29 18:00:00,1055820.0
277,0.006808,0.006808,0.006614,0.006614,2016-07-02 18:00:00,539443.0
278,0.00701,0.00701,0.006595,0.006595,2016-07-06 18:00:00,788366.0
279,0.006708,0.006708,0.006531,0.006531,2016-07-10 18:00:00,723026.0
280,0.006381,0.00644,0.006381,0.00644,2016-07-14 18:00:00,756878.0
281,0.006572,0.006572,0.006407,0.006407,2016-07-18 18:00:00,542536.0
282,0.006409,0.006416,0.006305,0.006309,2016-07-22 18:00:00,370709.0
283,0.006293,0.006293,0.005968,0.005968,2016-07-26 18:00:00,1362120.0
284,0.005974,0.006122,0.005956,0.005956,2016-07-30 18:00:00,645633.0
285,0.005909,0.005909,0.005653,0.005653,2016-08-02 18:00:00,1606280.0
